customer_id,review_text,processed_text,customer_rating,sentiment_label,vader_pred,vader_score,bert_pred_full,bert_confidence_full,sentiment_score
1,very disappointed with the quality.,very disappointed quality,1,negative,negative,-0.5256,negative,0.47428229451179504,-1
2,fast delivery and great packaging.,fast delivery great packaging,5,positive,positive,0.6249,positive,0.7150805592536926,1
3,very disappointed with the quality.,very disappointed quality,1,negative,negative,-0.5256,negative,0.47428229451179504,-1
4,product stopped working after few days.,product stopped working day,2,negative,negative,-0.2263,negative,0.6589389443397522,-1
5,neutral about the quality.,neutral quality,3,neutral,neutral,0.0,neutral,0.40819641947746277,0
6,"amazing experience, highly recommend!",amazing experience highly recommend,5,positive,positive,0.7836,positive,0.9405997395515442,1
7,great value for money.,great value money,4,positive,positive,0.7579,positive,0.7198184728622437,1
8,excellent product! exceeded expectations.,excellent product exceeded expectation,5,positive,positive,0.6114,positive,0.9307136535644531,1
9,"product is okay, nothing special.",product okay nothing special,3,neutral,negative,-0.092,neutral,0.8160766959190369,0
10,great value for money.,great value money,5,positive,positive,0.7579,positive,0.7198184728622437,1
11,not worth the price.,not worth price,2,negative,negative,-0.1695,negative,0.4591589570045471,-1
12,very disappointed with the quality.,very disappointed quality,1,negative,negative,-0.5256,negative,0.47428229451179504,-1
13,"amazing experience, highly recommend!",amazing experience highly recommend,5,positive,positive,0.7836,positive,0.9405997395515442,1
14,"amazing experience, highly recommend!",amazing experience highly recommend,4,positive,positive,0.7836,positive,0.9405997395515442,1
15,customer service was unhelpful.,customer service unhelpful,1,negative,neutral,0.0,negative,0.44395899772644043,-1
16,product stopped working after few days.,product stopped working day,2,negative,negative,-0.2263,negative,0.6589389443397522,-1
17,late delivery and poor packaging.,late delivery poor packaging,1,negative,negative,-0.4767,negative,0.5518423318862915,-1
18,neutral about the quality.,neutral quality,3,neutral,neutral,0.0,neutral,0.40819641947746277,0
19,excellent product! exceeded expectations.,excellent product exceeded expectation,4,positive,positive,0.6114,positive,0.9307136535644531,1
20,late delivery and poor packaging.,late delivery poor packaging,1,negative,negative,-0.4767,negative,0.5518423318862915,-1
21,"amazing experience, highly recommend!",amazing experience highly recommend,5,positive,positive,0.7836,positive,0.9405997395515442,1
22,excellent product! exceeded expectations.,excellent product exceeded expectation,5,positive,positive,0.6114,positive,0.9307136535644531,1
23,"amazing experience, highly recommend!",amazing experience highly recommend,4,positive,positive,0.7836,positive,0.9405997395515442,1
24,customer service was unhelpful.,customer service unhelpful,2,negative,neutral,0.0,negative,0.44395899772644043,-1
25,very disappointed with the quality.,very disappointed quality,2,negative,negative,-0.5256,negative,0.47428229451179504,-1
26,"amazing experience, highly recommend!",amazing experience highly recommend,5,positive,positive,0.7836,positive,0.9405997395515442,1
27,average experience overall.,average experience overall,3,neutral,neutral,0.0,neutral,0.7137743234634399,0
28,product stopped working after few days.,product stopped working day,1,negative,negative,-0.2263,negative,0.6589389443397522,-1
29,works fine but could be better.,work fine could better,3,neutral,positive,0.6428,neutral,0.5999695062637329,0
30,fast delivery and great packaging.,fast delivery great packaging,4,positive,positive,0.6249,positive,0.7150805592536926,1
31,great value for money.,great value money,4,positive,positive,0.7579,positive,0.7198184728622437,1
32,"amazing experience, highly recommend!",amazing experience highly recommend,4,positive,positive,0.7836,positive,0.9405997395515442,1
33,fast delivery and great packaging.,fast delivery great packaging,4,positive,positive,0.6249,positive,0.7150805592536926,1
34,product stopped working after few days.,product stopped working day,2,negative,negative,-0.2263,negative,0.6589389443397522,-1
35,works fine but could be better.,work fine could better,3,neutral,positive,0.6428,neutral,0.5999695062637329,0
36,neutral about the quality.,neutral quality,3,neutral,neutral,0.0,neutral,0.40819641947746277,0
